Kp,t_r_s,t_s_s,OS_percent,polo_1,polo_2,polo_3
0.5,2.22116499213254,18.1877150158668,33.7105093331974,-0.2000+0.5788i,-0.2000-0.5788i,
1,1.84213551566298,19.4571467179642,39.5902981077553,-0.2000+0.6782i,-0.2000-0.6782i,
5,0.967449375292804,18.791469931794,59.2492504121254,-0.2000+1.2083i,-0.2000-1.2083i,
10,0.69137955596786,19.3423461497026,68.2533508180739,-0.2000+1.6462i,-0.2000-1.6462i,
15,0.56358903995696,19.1864999934273,72.9156186433468,-0.2000+1.9900i,-0.2000-1.9900i,
20,0.486946124841704,19.4022322780464,75.9310996132589,-0.2000+2.2825i,-0.2000-2.2825i,
30,0.395876208378164,19.3514086534479,79.7465643661816,-0.2000+2.7767i,-0.2000-2.7767i,
50,0.304798300516092,19.4547942544813,83.8405621064113,-0.2000+3.5651i,-0.2000-3.5651i,
120,0.194855409408333,19.4686409797162,89.1974709138579,-0.2000+5.4964i,-0.2000-5.4964i,
1000,0.0665130835475957,19.4711265474494,96.1056859268401,-0.2000+15.8180i,-0.2000-15.8180i,
